id,name,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),141805,87,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,177720,88,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3
1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,247067,86,False,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,4
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,97,False,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),189893,88,True,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4
37vVp2sWHuuIBOSl1NswP6,i'm yours,145667,82,False,0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,4
0XER3HPMx223xWaAgNKp4Y,My Mind & Me,147597,84,False,0.6,0.389,9,-5.727,1,0.0337,0.566,0.0,0.0826,0.244,143.577,4
2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),187107,83,False,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,4
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,132630,93,False,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,157017,91,False,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,4
5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,163603,87,False,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,4
5uSFGgIfHMT3osrAd9n9ym,Forget Me,203472,87,False,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,4
3LtpKP5abr2qqjunvjlX5i,Doja,97392,89,True,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,4
0ARKW62l9uWIDYMZTUmJHF,Shut Down,175889,84,False,0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,3
