artist_id,name,genres
2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,pop/post-teen pop
5arKwJZEvT5uKq4o0JfqR4,Isabel LaRosa,hyperpop/pop
5bfglVyGJppmmNoC2rhBUG,Natalie Jane,alt z
7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,alt z/gen z singer-songwriter
2hUYKu1x0UZQXvzCmggvSn,Reneé Rapp,alt z/indie pop/pop
5C1tex8vm00yFKTitiOnMU,why mona,la pop
2knWnzQWhtUg9J3zVsEYm8,Tariq,
0V8tQXWkKPD5SxsB2moGew,The Gregory Brothers,antiviral pop/comic/meme rap/social media pop
0WSxLJRrB4L65JhNxIajE2,Recess Therapy,
0znpFLuaey34oJTE1jHSnT,Alexander Stewart,alt z/pop/post-teen pop
3jTU1IOqkO7Mz4zdbXPose,Stephen Dawes,
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,boy band/pop/post-teen pop/talent show
21z8to3YxZXgKYJpBB54P2,Daniel Seavey,
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,alt z/electropop/pop
4EPJlUEBy49EX1wuFOvtjK,Becky Hill,dance pop/edm/pop/pop dance/pop house/tropical house/uk dance
1YzaVDzA3EdEipDSUeNQER,Speed Radio,
4kBCXTJBl1aY9pDHONsjfr,xxtristanxo,
6s22t5Y3prQHyaHWUN1R1C,AJR,modern rock
7dGJo4pcD2V6oG8kP0tJRR,Eminem,detroit hip hop/hip hop/rap
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,ambient pop/dream pop/el paso indie/pop/shoegaze
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,bedroom pop/pop
2yLzlEFtIS0Q9UkyBZdQA7,Jessie Murph,alt z/pop
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,k-pop/k-pop girl group
4adSXA1GDOxNG7Zw89YHyz,mazie,modern indie pop
0LyP0Zn0mXLb65AgGOS6EY,Ethan Bortnick,
6PnD7O3Er35tK4TeFyndOS,Kate Peytavin,
7pwufEBGfggjoI8twqlsmQ,Nessa Barrett,alt z/pop/social media pop
56ZTgzPBDge0OvCGgMO3OY,Beach House,baltimore indie/dream pop/dreamo/modern dream pop
2KC9Qb60EaY0kW4eH68vr3,ITZY,k-pop girl group
1ZjXhESKpjsv31L7ykuJBE,Mckenna Grace,
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,pop/post-teen pop
5qa31A9HySw3T7MKWI9bGg,FLETCHER,alt z/dance pop/electropop/pop/post-teen pop
