eps: 1.19, min_samples: 10, metric: euclidean, score: -0.14039189094127894, n_labels: 17, artist_density: 0.5654693604115456, album_density: 0.7823220478437181
eps: 1.2, min_samples: 10, metric: euclidean, score: -0.13351794732362074, n_labels: 18, artist_density: 0.5949559943617051, album_density: 0.7972631651883355
eps: 1.21, min_samples: 10, metric: euclidean, score: -0.09178105033120088, n_labels: 18, artist_density: 0.5925782055840645, album_density: 0.7946204064083936
eps: 1.22, min_samples: 10, metric: euclidean, score: -0.10784422007457248, n_labels: 18, artist_density: 0.5725307941493295, album_density: 0.7898173862243753
eps: 1.23, min_samples: 10, metric: euclidean, score: -0.12150509630671122, n_labels: 18, artist_density: 0.539401472776903, album_density: 0.7675677556679594
eps: 1.24, min_samples: 10, metric: euclidean, score: -0.11448211859250725, n_labels: 18, artist_density: 0.5495604549835801, album_density: 0.7788771202596914
eps: 1.25, min_samples: 10, metric: euclidean, score: -0.13192059749565038, n_labels: 18, artist_density: 0.5291691229991533, album_density: 0.7965163285230521
eps: 1.26, min_samples: 10, metric: euclidean, score: -0.12051840261150408, n_labels: 16, artist_density: 0.5388370751434193, album_density: 0.7853485149378645
eps: 1.27, min_samples: 10, metric: euclidean, score: -0.09814438396495949, n_labels: 15, artist_density: 0.5533984632655625, album_density: 0.7882662574146334
eps: 1.28, min_samples: 10, metric: euclidean, score: -0.07974398272268579, n_labels: 15, artist_density: 0.5697261292715616, album_density: 0.7973833283775813
eps: 1.29, min_samples: 10, metric: euclidean, score: -0.07496244174217621, n_labels: 13, artist_density: 0.5892754125736299, album_density: 0.8050781825575716
eps: 1.3, min_samples: 10, metric: euclidean, score: -0.07658118338644204, n_labels: 12, artist_density: 0.5870631952694374, album_density: 0.8000506903295976
